index,age,gender,dominant_race
/home/spendar/Desktop/fairness/real/R_FFHQ_01057.png,37,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03255.png,33,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_00436.png,31,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00426.png,32,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00341.png,36,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00566.png,27,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_00453.png,31,Man,black
/home/spendar/Desktop/fairness/real/R_FFHQ_02611.png,37,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_00497.png,25,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_03374.png,34,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02301.png,31,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00384.png,28,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_00244.png,39,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02706.png,33,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00510.png,23,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_03481.png,25,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_02029.png,28,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_00280.png,32,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_01794.png,27,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_02284.png,26,Man,indian
/home/spendar/Desktop/fairness/real/R_FFHQ_03015.png,26,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_00209.png,33,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02422.png,37,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02060.png,24,Man,black
/home/spendar/Desktop/fairness/real/R_FFHQ_02379.png,30,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03377.png,29,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_01582.png,24,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_00689.png,30,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_01557.png,23,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00682.png,28,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01399.png,38,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02311.png,36,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02903.png,32,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_01889.png,32,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01678.png,30,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_03495.png,27,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00581.png,40,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_00701.png,34,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02134.png,33,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01712.png,32,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_02557.png,31,Woman,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_02656.png,23,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_03219.png,32,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03179.png,50,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00810.png,24,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_03298.png,36,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02677.png,45,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_03176.png,30,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01847.png,40,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_02454.png,25,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_02421.png,34,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01189.png,49,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_03024.png,24,Woman,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_02826.png,25,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_00469.png,27,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02344.png,33,Man,middle eastern
/home/spendar/Desktop/fairness/real/R_FFHQ_00630.png,31,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03404.png,31,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03014.png,27,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00206.png,33,Man,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_01217.png,23,Man,black
/home/spendar/Desktop/fairness/real/R_FFHQ_00585.png,30,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03405.png,33,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01971.png,33,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_03305.png,33,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00549.png,42,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02388.png,32,Woman,latino hispanic
/home/spendar/Desktop/fairness/real/R_FFHQ_01703.png,31,Woman,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_02946.png,30,Man,asian
/home/spendar/Desktop/fairness/real/R_FFHQ_00111.png,34,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_00018.png,32,Woman,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02712.png,38,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02275.png,37,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_02680.png,32,Man,white
/home/spendar/Desktop/fairness/real/R_FFHQ_01596.png,29,Woman,asian
